,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
48," Irrfan Khan
",https://www.imdb.com/name/nm0451234,"
    Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family. Khan's mother, Begum Khan, was from the Tonk Hakim family and his father, Jagirdar Khan, from the Khajuriya village near the Tonk district, ran a tire business. The Khan family name comes from Turkish and Mongol languages and mean ""...            
See full bio »
            
","
January 7, 
     
1967","https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","

    Provided the voice of ""Baloo"" in the Hindi dubbed version of The Jungle Book (2016).        ",,"

Capricorn
","

    Starred in Jaya Pradha's 2006 shelved home production. Directed by Kitu Gosh. Co starring Jaya Pradha, Priyanshu Chatterjee, Sandhya Mridul. It was a suspense thriller.                    
See more

                    »
        ",,"

    We're yet to make inroads into the West and the way Chinese cinema is made. I mean, long before Ang Lee's 'Crouching Tiger Hidden Dragon', Bruce Lee had made an impact on the Western audience with his 'Enter The Dragon'. Indian cinema is yet to make that kind of impact. But we're getting there.                    
See more

                    »
        ","

5' 10½"" (1.79 m)        ","

            'Irrfan' | Irfan | Irrfan | Irrfan Kahn | Irfaan Khan | Irfan Khan
        "
49," Jackie Shroff
",https://www.imdb.com/name/nm0006763,"
    Jaikishen was born in the Gujarati-speaking Shroff family on February 1, 1957. His dad's name is Kakubhai, his brother's is Hemant, and they live in Bandra, Bombay in a bungalow named 'Le Pepeyon"". A vegetarian, Jaikishen made his Bollywood debut in a bit-role as a villain in the hit Heera Panna (1973) which starred 'Dev Anand'. He then went on to ...            
See full bio »
            
","
February 1, 
     
1957","https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR23,0,214,317_AL__QL50.jpg",,"

            Jagga
        ","

Aquarius
","

    Starred in shelved film United People' Pictures ""Haramzaada"" (1986) Starring Sanjay Dutt (Replaced Jackie Shroff),Amrita Singh (Replaced Ayesha Dutt Shroff),Vijayta Pandit (Who left the film after a fight with the director),Dialogues by Kader Khan,Music by Laxmikant Pyarelal, Produced by Shabana Ahmed,Sharad Shah. Sharad was the assistant to Rajiv Rai,Directed by Mounna Dhari.                    
See more

                    »
        ",,,"

5' 10"" (1.78 m)        ","

            Jackie Sheroff
        "
50," Jimmy Sheirgill
",https://www.imdb.com/name/nm0792116,"
    Shergill was born in a Sikh family in Gorakhpur, Uttar Pradesh. He moved to Punjab, the place of his ancestors, in 1985 where he studied in Yadavindra Public School, Patiala and Bikram College Patiala. He learnt acting from Sri Harpal Singh, and then moved to Mumbai to work in the entertainment industry. He's married to Priyanka Puri from Delhi ...            
See full bio »
            
","
December 3, 
     
1970","https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY317_CR130,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    Starred in Venus Films shelved film ""Love In Kashmir""(2001). Starring Jimmy Shergill, Bhumika Singh,Karan Nath, Produced by Ratan Jain,Ganesh Jain, Directed by S.V. Rajendra Singh.                    
See more

                    »
        ",,,"

5' 5¾"" (1.67 m)        ","

            Jimmy Shergil | Jasjiet Shergill | Jimmy Shergill | Jusjit Shergill
        "
51," Jeetendra
",https://www.imdb.com/name/nm0420090,"
    Ravi Kapoor was born in a business family that dealt with imitation Jewelery and used to live in a chawl. While supplying jewelry to V. Shantaram, he was cast as Sandhya's double in the 1959 movie 'Navrang'. His first break as a Bollywood leading man came in 'Geet Gaya Patharon Ne'. Although Ravi Kapoor was born on April 7, 1942, Jeetendra birth's ...            
See full bio »
            
","
April 7, 
     
1942","https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg",,"

            Jumpin' Jack
        ","

Aries
","

Bappi Lahiri composed for films starring Jeetendra beginning from Himmatwala. Together Bappi and Jeetendra did 20 films between 1983 to 1988. Of these 20, 16 were silver jubilee hits and 4 were flops. Initially they had 4 consecutive hits - Himmatwala(1983) ,Jaani Dost(1983) ,Justice Chaudhary(1983), Mawaali(1983), Qaidi(1984). Their next film Kaamyaab(1984) was a flop. Then again they had 4 hits...                    
See more

                    »
        ",,,"

5' 9"" (1.75 m)        ","

            Jeetender | Jitendar | Jitendra
        "
52," Jaspal Bhatti
",https://www.imdb.com/name/nm0080377,"
Jaspal Bhatti, the most popular social satirist in India, graduated from Punjab Engineering College, Chandigarh in North India, as an electrical engineer. He was famous for his street plays like his My Nonsense Club during his college days. Most of these plays were spoof ridiculing the corruption in the society. Before venturing out in to ...            
See full bio »
            
","
March 3, 
     
1955","https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY317_CR17,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Originally was an electrical engineer by profession.                    
See more

                    »
        ",,"

    I've always been inspired by either cartoons or politicians, both are so alike.        ",,
53," Johnny Lever
",https://www.imdb.com/name/nm0505323,"
    Johnny Lever, born in Andhra Pradesh and was brought up in Mumbai's King's Circle area (Dharavi). His mother tongue is Telugu. Johnny studied in Andhra Telugu School till the seventh grade but couldn't study further because of financial problems in his family, after which he decided to leave school and started working different kinds of odd jobs, ...            
See full bio »
            
","
August 14, 
     
1957","https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Leo
","

    Is frequently used by director duo Abbas-Mustan.                    
See more

                    »
        ",,,"

5' 3"" (1.6 m)        ","

            Johnny Fever | Jhoney Lever | Jhonny Lever | Jhony Lever | Johney Lever | Johny Lever | Jonny Lever | Jony Lever | Johny Liver | Johnny Whisky
        "
54," Jaswinder Bhalla
",https://www.imdb.com/name/nm3243068,"
    Jaswinder Bhalla is an actor and writer, known for Carry on Jatta (2012), Rangeelay (2013) and Jatt Boys Putt Jattan De (2013).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BOTBhZTBiMTAtNjdjYS00MmI5LTg4ZmYtMjFjMjYyMDAyMzQ2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._CR890,0,2141,1604._SY230_SX307_AL_.jpg",,"

            Chacha Chatar Singh
        ",,,,,,
55," Kamal Haasan
",https://www.imdb.com/name/nm0352032,"
    Kamal Haasan was born November 7, 1954 in Paramakudi, Tamil Nadu. He debuted as a child artiste in the film ""Kalathoor Kannamma"" (1960), which was released in the year 1960. Since then, he has starred in nearly 200 films in the major Indian languages - Tamil, Telugu, Kannada, Malayalam and Hindi. He has been a part of the film industry for 52 ...            
See full bio »
            
","
November 7, 
     
1954","https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg",,"

            Universal Hero
        ","

Scorpio
","

    After problems with Sanjay Dutt in Vidhaata, Subhash Ghai wanted Kamal Haasan in Hero. The film was titled Sangeet at that point. Kamal declined as he did not have the required dates.                    
See more

                    »
        ","

    Kamal Haasan has a unique distinction of sung song for 14 Music Composers.                    
See more

                    »
        ","

    Strangely, one of the greatest rationalists of this world has been turned into a god: Buddha.                    
See more

                    »
        ","

5' 5"" (1.65 m)        ","

            Kamala Haasan | Padmashree Kamal Haasan | Padmashri Kamal Haasan | Padmasree Kamal Haasan | Kamal Hassan | Kamalahasan | Kamalhassan | Kamal | Nayagan Ulaga
        "
56," Kangana Ranaut
",https://www.imdb.com/name/nm2144007,"
    Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh. Her dad's name is Amardeep, who is a businessman and contractor, her mom, Asha, is a school-teacher. She has two sisters, eldest one is Rangoli, and she has a brother, Akshit, who is about a year younger than her. Her grandfather was an ...            
See full bio »
            
","
March 20, 
     
1987","https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY317_CR5,0,214,317_AL__QL50.jpg","

    TV Commercial for BoroPlus Antiseptic Cream with Amitabh Bachchan.        ",,"

Pisces
","

    Kangana Ranaut is one of the youngest actresses to win the prestigious National Film Awards at the age of 22. She won Best Supporting Actress Award for Fashion(2008).                    
See more

                    »
        ",,"

    ""I schooled in Himachal Pradesh. I had taken up science and, initially, wanted to become a doctor. There are few career options for students of science though, so I shifted to Delhi and decided to try theater instead. I joined a group called Ashmita, and did two plays there -- Madhavi and Rakht Kalyan. As I was still unsure of what I wanted to do, I began sending photographs of myself to ...                    
See more

                    »
        ","

5' 5¼"" (1.66 m)        ","

            Kangna Ranaut
        "
57," Konkona Sen Sharma
",https://www.imdb.com/name/nm1234298,"
    Konkona Sen Sharma is an awarding winning actress and the daughter of the celebrated actress and director Aparna Sen. Konkona is regarded as one of the most respected actresses in Bollywood with her memorable performances right from Mr. and Mrs. Iyer (2002) to Page 3 (2005), from Omkara (2006) to Life in a Metro (2007). Her singularly exquisite ...            
See full bio »
            
","
December 3, 
     
1979","https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    She became a known face when she starred in the film Mr. and Mrs. Iyer (2002), directed by her mother. The film was a multiplex success and was a favorite with the critics. Konkona's performance got her the National Film Award for Best Actress. This was followed by a critically acclaimed hit, Page 3 (2005). Her role drew a lot of praise and she became a more familiar face to the movie going ...                    
See more

                    »
        ",,,,"

            Konkona Sensharma
        "
58," Kader Khan
",https://www.imdb.com/name/nm0434318,"
    Kader Khan was born on December 11, 1937 in Pishin, Balochistan, British India. He was an actor and writer, known for Taqdeerwala (1995), Naseeb (1981) and Angaar (1992). He was married to Azra Khan. He died on December 31, 2018 in Mississauga, Ontario, Canada.            
See full bio »
            
","
December 11, 
     
1937","https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    Kader Khan's wife's brother is married to actress Zareen Khan's maternal aunt.                    
See more

                    »
        ",,"

    Roti was home production of Rajesh Khanna. It was Rajesh Khanna who happily paid me One Lake Twenty Five Thousand for writing dialogue in the film directed by Manmohan Desai. Rajesh Khanna continued to give me films wherein my voice could be used like Bhola Bhala, Chailla Babu.He gave me small roles in Mahachor, Nasihat ,Maqsad and larger roles in Fiffty Fiffty, Naya Kadam.        ",,"

            Kaderkhan | Kadar Khan | Prof. Kader Khan | Qadar Khan
        "
59," Kay Kay Menon
",https://www.imdb.com/name/nm1946407,"
    Kay Kay Menon was born on October 2, 1966 in Kerala, India as Krishna Kumar Menon. He is an actor, known for Haider (2014), Black Friday (2004) and Gulaal (2009). He is married to Nivedita Bhattacharya.            
See full bio »
            
","
October 2, 
     
1966","https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,,"

Libra
","

    Starred in the shelved film ""Humrahi""(2004). Starring Aamir Ali, Isha Khoppikar, Kay Kay Menon, Mukul Dev. Directed by Hansal Mehta.                    
See more

                    »
        ",,,"

5' 11"" (1.8 m)        ","

            Kay Kay
        "
60," Kajol
",https://www.imdb.com/name/nm0004418,"
    Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee. She is an actress, known for Kuch Kuch Hota Hai (1998), My Name Is Khan (2010) and Fanaa (2006). She has been married to Ajay Devgn since February 24, 1999. They have two children.            
See full bio »
            
","
August 5, 
     
1974","https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",,,"

Leo
","

    Niece of producer Subbir Mukherjee .                    
See more

                    »
        ","

    Her uni-brow        ",,"

5' 1"" (1.55 m)        ","

            Kajol Ajay Devgan | Kajol Devgan
        "
61," Kulbhushan Kharbanda
",https://www.imdb.com/name/nm0451425,"
    Kulbhushan Kharbanda was born on October 21, 1944 in Hasan Abdal, Punjab, British India. He is an actor, known for Lagaan: Once Upon a Time in India (2001), Haider (2014) and Hera Pheri (2000).            
See full bio »
            
","
October 21, 
     
1944","https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY317_CR109,0,214,317_AL__QL50.jpg",,,"

Libra
","

    Was engaged to Seema Sawhni. Daughter of director Shaheed Latif.                    
See more

                    »
        ",,,,"

            Kulbushan Kharbanda
        "
62," Kalki Koechlin
",https://www.imdb.com/name/nm3202701,"
    Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country. Her parents are devotees of Sri Aurobindo. Kalki was studying in Ooty when her parents insisted that she attend university. She studied drama and theatre at ...            
See full bio »
            
","
January 10, 
     
1983","https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Capricorn
","

    Younger brother named Oriel.                    
See more

                    »
        ",,,"

5' 4"" (1.63 m)        ",
63," Kapil Sharma
",https://www.imdb.com/name/nm6151574,"
    Kapil Sharma is an Indian stand-up comedian, TV anchor and singer.He was selected among top 100 celebrities in 2013 Forbes India magazines and he was ranked 96th in that list. Currently he hosts The Kapil Sharma Show.[2] He also hosted television comedy shows like Comedy Nights with Kapil, The Kapil Sharma Show, Family Time with Kapil, Chhote ...            
See full bio »
            
","
April 2, 
     
1981","https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,,"

Aries
","

    Debuted as producer in Firangi 2017.                    
See more

                    »
        ",,,"

5' 6"" (1.68 m)        ",
64," Krishna Abhishek
",https://www.imdb.com/name/nm2243737,"
    Krishna Abhishek is an actor and producer, known for Bol Bachchan (2012), Jahan Jaaeyega Hamen Paaeyega (2007) and Marrne Bhi Do Yaaron (2019).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",,,,"

    Turned producer with Marne Bhi Do Yaaron 2019.                    
See more

                    »
        ",,,"

5' 10"" (1.78 m)        ","

            Krushna
        "
65," Karuna Bannerjee
",https://www.imdb.com/name/nm0052334,"
    Karuna Bannerjee was born on December 25, 1919 in Calcutta, Bengal Presidency, British India. She was an actress, known for Aparajito (1956), Pather Panchali (1955) and Mahakavi Kalidas (1942). She died on November 13, 2001 in Kolkata, West Bengal, India.            
See full bio »
            
","
December 25, 
     
1919","https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg",,,"

Capricorn
",,,,,"

            Karuna Bandopadhyay | Karuna Bandyopadhyay | Kanu Bannerjee | Karuna Banerji in subtitles
        "
66," Kanwaljit Singh
",https://www.imdb.com/name/nm1942776,"
    Kanwaljit Singh is an actor, known for 15 Park Avenue (2005), Bang Bang (2014) and Saans (1999). He is married to Anuradha Patel.            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",,,,"

    Starred in the shelved films,Goldie Films International's ""Saat Sikandar""(1998)Starring Rahul Roy,Milind Gunaji,Sudesh Berry,Kanwaljeet,Divya Kumar,Shivangi Chaudhary,Jyoti Rana,Kiran Kumar,Music by Dilip Sen, Sameer Sen, Produced by Avatar Ahluwalia, Poonam Sharma,Directed by Ravi Ravan Kathuria .Reels 5.                    
See more

                    »
        ",,,"

6' 1½"" (1.87 m)        ","

            Kanwaljeet | Kanwaljit | Kanwal Jeet Singh | Kanwaljeet Singh | Kawaljeet Singh
        "
67," Lara Dutta
",https://www.imdb.com/name/nm1069034,"
    It is not a secret that Lara Dutta is a beauty with brains. This was demonstrated when she scored the highest possible marks in the history of the Miss Universe Contest. After this she was crowned Miss Universe 2000, making history as not only the most beautiful but also the most intelligent young woman to wear this crown in the history of Miss ...            
See full bio »
            
","
April 16, 
     
1978","https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY317_CR132,0,214,317_AL__QL50.jpg","

    Concert tour in April/May 2004 in UK, USA and Canada with Hrithik Roshan, Fardeen Khan, Aishwarya Rai Bachchan, Celina Jaitly and Sajid Khan.        ",,"

Aries
","

    Is half Scottish on her mother's side.                    
See more

                    »
        ",,"

    About Priyanka Chopra: ""We've never claimed to be best friends. We've had our ups and downs, after all, we're competitors in the same field. But I'd hate to have an attitude towards her. I think Priyanka is very talented but I don't think we're up for the same slot. Both of us will definitely create our own slots,""                    
See more

                    »
        ","

5' 8"" (1.73 m)        ","

            Lara Bhupathi | Laara Dutta | Lara Dutta-Bhupathi
        "
68," Manjot Singh
",https://www.imdb.com/name/nm3190972,"
    Manjot Singh is an Indian born actor whose portrayal of young Lucky in Oye Lucky! Lucky Oye! (2008) made him accepted as dynamic sardar actor in Bollywood. Manjot had never acted before getting this first break. Manjot comes from a well educated Sikh family.            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BNWY2N2E4Y2EtOGI2NS00YjkxLTgwMDAtNGU4MTZjN2RiZjAwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,,,"

    Brother of Bollywood actor Sehebjot Singh and son of Bollywood actor Paramjot Singh.        ",,,,
69," Manu Rishi Chadha
",https://www.imdb.com/name/nm2286188,"
    Manu Rishi Chadha, one of the finest artists in our industry was born and raised in Delhi. His only dream was to become an actor and hence to hone his skills, he quit college to pursue theatre. He gave 10 years to theatre and eventually decided to move to Mumbai to give a bigger platform to his acting dreams. After a few attempts at acting which ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY317_CR173,0,214,317_AL__QL50.jpg",,,,"

    Partner of assistant director Roli Chaturvedi.        ",,,,"

            Manu Rishi Chadda | Mannu Rishi Chaddha | Manu Rishi Chaddha | Manurishi Chaddha | Manurishi Chadha | Manurishi | Manu Rishi
        "
70," Mehmood
",https://www.imdb.com/name/nm0576454,"
    Mehmood was born on September 29, 1932 in Bombay, Bombay Presidency, British India. He is known for his work on Bombay to Goa (1972), Do Phool (1974) and Main Sunder Hoon (1971). He died on July 23, 2004 in Pennsylvania, USA.            
See full bio »
            
","
September 29, 
     
1932","https://m.media-amazon.com/images/M/MV5BMzI0OWZlOTQtNGJiNS00YzVhLWE1MGQtZGY3ZWUwYWJiOTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR20,0,214,317_AL__QL50.jpg",,,"

Libra
","

    Nephew Raju Ali (Sajid) was the music director for pop singer Xenia Ali album "" Mere Ada"". Raju is the son of film producer's and Usman Ali and Zaibunnisa Ali. Raju also has a brother named Binju Ali who was a actor, singer. Raju Ali discovered singer Xenia Ali. Despite the same surname, there is no relation.                    
See more

                    »
        ",,,,"

            Mahmood Ali | Mehmood Bhaijaan | Mehmood/Malabari Mahmood | Mahmood | Mahmud | Mehmud
        "
71," Mukesh Tiwari
",https://www.imdb.com/name/nm0864608,"
    Mukesh Tiwari was born on August 24, 1969 in Sagar, Madhya Pradesh, India. He is an actor, known for Dilwale (2015), Gangaajal (2003) and Yehi Hai Zindagi (2005).            
See full bio »
            
","
August 24, 
     
1969","https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_UY317_CR135,0,214,317_AL__QL50.jpg",,,"

Virgo
","

    His dialogue is used in the Punjabi song Kharku Life by Aardee and Chani Nattan.        ",,,,"

            Mukesh Tewari
        "
72," Mammootty
",https://www.imdb.com/name/nm0007123,"
    Malayalam film actor Mammootty was born to Ismail (an agriculturist) and Fatima (a homemaker). He had two younger brothers Ibrahim and Zakariah; and three sisters, Ameena, Sauda and Shafina. He did his high school (pre-degree) at Maharaja's College, Thevara and then studied law at Ernakulam Government Law College. It was during his days at ...            
See full bio »
            
","
September 7, 
     
1951","https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,"

            Chembu Mammad
                
See more

                »
        ","

Virgo
","

    Patron of the Pain and Palliative Care Society, a charitable organization formed with the aim of improving the quality of life in patients with advanced cancer and with chronic pain.                    
See more

                    »
        ",,,"

5' 10"" (1.78 m)        ","

            Padmasree Mammootty | Muhammed Kutty Mammooty | Mammooty | big brother | cameo | Kalari gurukkal | hunter | Fisher man | business man
        "
73," Makrand Deshpande
",https://www.imdb.com/name/nm0221218,"
    Makrand Deshpande was born on July 3, 1958 in India. He is an actor and writer, known for Hanan (2004), Danav (2003) and Company (2002).            
See full bio »
            
","
July 3, 
     
1958","https://m.media-amazon.com/images/M/MV5BNDcyOGU3ODctZjZiZi00OWY1LWEzYjktOTIxNTUwMTAyODMzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    Was engaged to actress Sanjana Kapoor ( Shashi's daughter).                    
See more

                    »
        ",,,,"

            Mac Deshpanday | Makarand Vinayak Deshpande | Makarand Deshpande | Makrandh Deshpandey
        "
74," Madhavan
",https://www.imdb.com/name/nm0534856,"
    Madhavan was born on June 1, 1970, in a Tamil-speaking family. At the age of 18 his college entrusted him with the responsibility of representing India as a Cultural Ambassador to Canada. A year later he and three others from his college were sent to Britain as army cadets and received training in the royal army, navy, and Air Force. While conducting...            
See full bio »
            
","
June 1, 
     
1970","https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","

    Priyamana Thozi                    
See more

                    »
        ","

            Maddy
        ","

Gemini
","

    Director Sanjay Dayma narrated a script to Madhvan titled "" Vivaah"" in 2003. Sanjay had approached Hrithik for the other lead role in the film. The film was never made.                    
See more

                    »
        ",,,"

5' 8"" (1.73 m)        ","

            R. Madevan | R. Madhavan | R.Madhavan
        "
75," Mohanlal
",https://www.imdb.com/name/nm0482320,"
    Mohanlal was born to Viswanathan Nair (father) and Santhakumari (mother) in Pathanamthitta district of Kerala, in the southern part of India on 21st May 1960. Starting his career with a classic villain role, he has now become an outstanding actor of Malayalam Cinema in Kerala. Without no doubt, Mohanlal is today's one of the best actors India has ...            
See full bio »
            
","
May 21, 
     
1960","https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","

                	Stage play: 
    Chayamukhi - playing Bheema, at Lulu International Convention Centre, Thrissur, India                    
See more

                    »
        ","

            The Complete Actor
                
See more

                »
        ","

Gemini
","

    Mohanlal was awarded ""IMA Award"" by Indian Medical Association in 2003.                    
See more

                    »
        ",,,"

5' 7¾"" (1.72 m)        ","

            Lalettan | Lalu | Lal | Bharat Mohanlal | Padma Shri Bharat Mohanlal | Padmashree Bharath Mohanlal | V. Mohanlal
        "
76," Mita Vasisht
",https://www.imdb.com/name/nm0890622,"
    Mita Vashisht is an Indian television, film and theater actress, who graduated from National School of Drama, New Delhi in 1987. She was born in Pune, Maharashtra, India to Rajeshwar Dutt Vasisht, a retired Colonel in the Indian Army and Meenakshi Mehta Vasisht, a teacher and musician. She had her post-graduate in literature from Punjab University, ...            
See full bio »
            
","
November 2, 
     
1967","https://m.media-amazon.com/images/M/MV5BNGQ4YjkyMzMtM2E4OS00YmMzLWEyY2YtYjY0ZmUzYmEzNzFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",,,"

Scorpio
","

    Was engaged to actor Mangal Dhillon in the late 80's.        ",,,,"

            Meeta Vashisht | Mita Vashisht | Meeta Vashishta | Mita Vashist | Meeta Vasisht | Mita Vasishth
        "
77," Manoj Bajpayee
",https://www.imdb.com/name/nm0048075,"
    Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on Gangs of Wasseypur (2012), Satya (1998) and Aks (2001). He has been married to Neha since February 23, 2005.            
See full bio »
            
","
April 23, 
     
1969","https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",,,"

Taurus
","

    Father's name is Radhakant Bajpai.                    
See more

                    »
        ","

    Often plays man of rural background with strong moral values        ",,"

5' 7"" (1.7 m)        ","

            Manoj Bajpai | Manoj Vajpayee
        "
78," Manoj Joshi
",https://www.imdb.com/name/nm1259084,"
    Manoj Joshi is an India film and television actor. Joshi began his career in Marathi theatre, also putting up performances in Gujarati and Hindi theatre. He has also acted in over 60 films since 1998, many of his roles being comedic. His earliest well known serials include Chanakya, Ek Mahal Ho Sapno Ka, Rau (Marathi), Sangdil, Kabhi Souten Kabhi ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,,,"

    Brother of actor Rajesh Joshi who passed away in a accident in 1998.        ",,,,
